,names
0,Almost Discrete
1,Dream Faster
2,Boundary Condition
3,Electric Dreams
4,Dream Sequence
5,Mindaligned
6,Imaginary Dimensions
7,Myalo
8,Ukiyo
9,Honest Hactar
10,Upside Down ventures
11,Applied Creativity
12,Flatland 
13,Euphoric Vectors
14,Loss Landscape
15,Frontier Engineering
16,Subatomic Force
17,Tiny Explorers
18,Infinite Meiosis
19,Biome Squared
20,Future Algorithms Club
21,Loop of reason
22,Infinite play
23,Dreams of Complexity
24,Dreams of Science
25,Theory of Play
26,Mindful Machines
27,Machines of Play
28,Machines of Creativity
29,High-Dimensional Playground
30,Reverse Loop
31,Inverse Loop
32,Dream Loop
33,Experience Replay
34,Strange Loops
35,Algorithmists
36,Explorious
37,Algorithmic Dreams
38,Scientific Dream
39,Tiny Dreams
40,Algorithmic playfulness
41,Scientific loop
42,Our Recursive universe
43,Wonder loop
44,Strange Theories
45,Delightful Dimensions
46,Impossible Dimensions
47,Playful Dimensions
48,Tiny Dimensions
49,Hungry Vectors
50,Mindful Vectors
51,Beautiful conjectures
52,Parallel conjectures
53,Algorithmic Magic
54,Yellow Bytes
55,Deterministic Magic
56,Tiny Furry Machines
57,Unreasonable Machines
58,Strange Logic
59,Universal Engima
60,Pleasantly Deterministic
61,Curious Functions
62,Algorithms of Play
63,Universal shortcuts
64,Improvised Evidence
65,Unreasonably Scientific
66,Audacious Questions
67,Vectors Can Dance
68,Viva la algorithmic
69,Atlas of the Future
70,Parallel Friction
71,Compact Phenomena
72,Quintessential Complexity
73,Delightful Complexity
74,enchanted algorithms
75,Algorithms of the Unreasonable
76,Magically Deterministic
77,Stochastic Intellect
78,Stochastic Creatures
79,Stochastic Renaissance
80,Undecidable beacon
81,Quantum Monkeys
82,Algorithmic Canvas
83,Discrete pieces
84,Breakthough Movements
85,Stochastic Theories
86,The Noble loop
87,Unsettled Theories
88,Impossible Manifolds
89,Spectral Tunes
90,Future Tunes
91,Future Canvas
92,hyper-renassaince
93,inter-exploratory
94,inter-deterministic
95,Familiar Dimensions
96,Vector Souls
97,Discrete Souls
98,Isometric Souls
99,Algorithmic Soul
100,Isometric Collective
101,Algorithmic Renassiance
102,Renaissance souls
103,Renaissance frontiers
104,Magical frontiers
105,the algorithms store
106,we got algorithms 
107,Magical Flow
108,Wunder Algorithms
109,Algorithms of Desire
110,Theories of Functions
111,Semi-Random
112,Magical Randomness
113,Magical Structures
114,No algorithms attached
